word,semantic_dissimilarity
La,
guerra,0.7313379049301147
delle,0.4994856119155884
campane,0.35671499371528625
C',0.4829884171485901
era,0.4378015995025635
una,0.4019361138343811
volta,0.36534714698791504
una,0.24799174070358276
guerra,0.3686981201171875
una,0.29573917388916016
grande,0.38144177198410034
e,0.4032652974128723
terribile,0.33144134283065796
guerra,0.2815801799297333
che,0.26835763454437256
faceva,0.35192179679870605
morire,0.437422513961792
molti,0.35557764768600464
soldati,0.39179283380508423
da,0.38905858993530273
una,0.3982032537460327
parte,0.41635560989379883
e,0.3546801805496216
dall',0.41530102491378784
altra,0.33926448225975037
Noi,0.41671717166900635
stavamo,0.35378769040107727
di,0.3700430989265442
qua,0.4137483239173889
e,0.3132566809654236
i,0.28455793857574463
nostri,0.3440787196159363
nemici,0.34057486057281494
stavano,0.26732397079467773
di,0.29927319288253784
là,0.33213889598846436
e,0.26747846603393555
ci,0.3145570755004883
sparavamo,0.3175671696662903
addosso,0.3909231424331665
giorno,0.38790208101272583
e,0.37298476696014404
notte,0.3537241816520691
ma,0.3261864185333252
la,0.30944204330444336
guerra,0.3434692621231079
era,0.3149793744087219
tanto,0.40786635875701904
lunga,0.38240736722946167
che,0.3684975504875183
a,0.37303775548934937
un,0.4042036533355713
certo,0.4007226228713989
punto,0.30265092849731445
ci,0.3327266573905945
venne,0.37982088327407837
a,0.41928648948669434
mancare,0.4249175786972046
il,0.361111044883728
bronzo,0.45592987537384033
per,0.3953235149383545
i,0.3445015549659729
cannoni,0.3775155544281006
non,0.3040739893913269
avevamo,0.3283897638320923
più,0.36454761028289795
ferro,0.3519224524497986
per,0.3368259072303772
le,0.27221226692199707
baionette,0.4045179486274719
eccetera,0.442904531955719
Il,0.428314208984375
nostro,0.48442816734313965
comandante,0.46006903052330017
lo,0.43075990676879883
Stragenerale,0.5786151885986328
Bombone,0.43581876158714294
Sparone,0.3984469473361969
Pestafracassone,0.4340519905090332
ordinò,0.4967797100543976
di,0.44119906425476074
tirar,0.44207441806793213
giù,0.5385369062423706
tutte,0.45463407039642334
le,0.38965415954589844
campane,0.4739980697631836
dai,0.44622892141342163
campanili,0.44911840558052063
e,0.3359842300415039
di,0.2916901707649231
fonderle,0.320965439081192
tutte,0.3168522119522095
insieme,0.3571290969848633
per,0.33412742614746094
fabbricare,0.3556888997554779
un,0.2979001998901367
grossissimo,0.4240988492965698
cannone,0.4035496711730957
uno,0.3605539798736572
solo,0.3881995677947998
ma,0.39403289556503296
grosso,0.3821561336517334
abbastanza,0.4432665705680847
da,0.4002879858016968
vincere,0.3626967668533325
tutta,0.39537400007247925
la,0.36305415630340576
guerra,0.37359821796417236
con,0.3823404312133789
un,0.36817651987075806
sol,0.4081271290779114
colpo,0.34789279103279114
A,0.40535104274749756
sollevare,0.38426637649536133
quel,0.32823312282562256
cannone,0.37889766693115234
ci,0.43716496229171753
vollero,0.45722922682762146
centomila,0.387755423784256
gru,0.43979519605636597
per,0.3144242763519287
trasportarlo,0.35773518681526184
al,0.4149935245513916
fronte,0.47911858558654785
ci,0.344001829624176
vollero,0.3467579185962677
novantasette,0.3943576216697693
treni,0.39900079369544983
Lo,0.4046285152435303
Stragenerale,0.5703542828559875
si,0.3802027106285095
fregava,0.4511336088180542
le,0.4226688742637634
mani,0.43381065130233765
per,0.4068855047225952
la,0.3883473873138428
contentezza,0.42216944694519043
e,0.3024446368217468
diceva,0.38495320081710815
Quando,0.5089865922927856
il,0.36711692810058594
mio,0.4230099320411682
cannone,0.4350700080394745
sparerà,0.4096444249153137
i,0.35843759775161743
nemici,0.3663063645362854
scapperanno,0.3677244186401367
fin,0.3917391896247864
sulla,0.39965224266052246
luna,0.40269365906715393
Ecco,0.4519660472869873
il,0.4239790439605713
gran,0.4658311605453491
momento,0.3912385404109955
Il,0.2951964735984802
cannonissimo,0.48757362365722656
era,0.34349560737609863
puntato,0.36292552947998047
sui,0.3200497627258301
nemici,0.3272278904914856
Noi,0.4530143737792969
ci,0.36675071716308594
eravamo,0.417302668094635
riempiti,0.42406874895095825
le,0.37292253971099854
orecchie,0.3919300436973572
di,0.3876522183418274
ovatta,0.39371082186698914
perché,0.38172656297683716
il,0.34890317916870117
frastuono,0.463897705078125
poteva,0.40202057361602783
romperci,0.38414502143859863
i,0.3106265068054199
timpani,0.4195157587528229
e,0.3466472625732422
la,0.25301069021224976
tromba,0.34413719177246094
di,0.3192501664161682
Eustachio,0.4705919027328491
Lo,0.4285496473312378
Stragenerale,0.5852547883987427
Bombone,0.4648185670375824
Sparone,0.43608617782592773
Pestafracassone,0.43542352318763733
ordinò,0.49445149302482605
Fuoco,0.5026391744613647
Un,0.4416024684906006
artigliere,0.5139111280441284
premette,0.4670695662498474
un,0.35871773958206177
pulsante,0.40639132261276245
E,0.40443265438079834
d',0.4375063180923462
improvviso,0.37590014934539795
da,0.4002798795700073
un,0.37464064359664917
capo,0.44947659969329834
all',0.4362894296646118
altro,0.4326092004776001
del,0.335942804813385
fronte,0.33593225479125977
si,0.300459623336792
udì,0.4236987829208374
un,0.2499692440032959
gigantesco,0.38112086057662964
scampanio,0.45736026763916016
Din,0.43724098801612854
Don,0.40928366780281067
Dan,0.347162663936615
Noi,0.4053238034248352
ci,0.3461991548538208
levammo,0.3917848467826843
l',0.38957977294921875
ovatta,0.46318504214286804
dalle,0.401333212852478
orecchie,0.38172078132629395
per,0.33946454524993896
sentir,0.4289521276950836
meglio,0.3755542039871216
Din,0.4208107888698578
Don,0.4275122284889221
Dan,0.3652549982070923
tuonava,0.4379305839538574
il,0.33010923862457275
cannonissimo,0.4902557134628296
E,0.3769163489341736
centomila,0.42151710391044617
echi,0.4394947588443756
ripetevano,0.3873033821582794
per,0.4258413314819336
monti,0.4159790873527527
e,0.41067832708358765
per,0.4118273854255676
valli,0.4127165675163269
Din,0.44680869579315186
Don,0.4090893864631653
Dan,0.3564549386501312
Fuoco,0.3602840304374695
gridò,0.46758782863616943
lo,0.3975629210472107
Stragenerale,0.530868649482727
per,0.4099976420402527
la,0.43323224782943726
seconda,0.49378734827041626
volta,0.376698762178421
Fuoco,0.38716086745262146
perbacco,0.48339134454727173
L',0.3834519386291504
artigliere,0.5082331299781799
premette,0.4421471357345581
nuovamente,0.3348701596260071
il,0.29297393560409546
pulsante,0.3873834013938904
e,0.3725624680519104
di,0.4141552448272705
nuovo,0.394910991191864
un,0.3299363851547241
festoso,0.42016664147377014
concerto,0.36465394496917725
di,0.3961043357849121
campane,0.3970649838447571
si,0.375863254070282
diffuse,0.4036511182785034
di,0.5284662842750549
trincea,0.5755529999732971
in,0.5879678130149841
trincea,0.4063750207424164
Pareva,0.42544862627983093
che,0.3479684591293335
suonassero,0.35309016704559326
insieme,0.37387382984161377
tutte,0.37092292308807373
le,0.304449200630188
campane,0.36564284563064575
della,0.41573119163513184
nostra,0.4466034173965454
patria,0.3855626583099365
Lo,0.4017602205276489
Stragenerale,0.5322896838188171
