BEGIN,entropy,type_of_words,word
89964.0,,function,Il
100989.0,11.897998809814451,content,contadino
134505.0,7.569469451904297,content,astrologo
236817.0,8.23474407196045,function,Un
245196.0,9.228631973266602,content,Re
270774.0,8.876620292663574,function,aveva
287532.0,8.668475151062012,content,perduto
321489.0,4.8899993896484375,function,un
327663.0,7.907731056213379,content,anello
345744.0,5.609960556030273,content,prezioso
404397.0,7.536271572113037,content,Cerca
419391.0,5.221928596496582,function,qua
430416.0,8.017936706542969,content,cerca
447615.0,4.464007377624512,function,là
460845.0,5.078437328338623,function,non
469665.0,8.298717498779297,function,si
477603.0,6.648824691772461,content,trova
533610.0,6.548466682434082,content,Mise
544635.0,9.715934753417969,function,fuori
556542.0,6.498924255371094,function,un
564480.0,8.881959915161133,content,bando
597996.0,6.268812656402588,function,che
602847.0,8.156168937683105,function,se
612108.0,6.087438583374023,function,un
616959.0,6.388156890869141,content,astrologo
650475.0,7.907996654510498,function,gli
659295.0,7.966081142425537,content,sa
665910.0,7.99061393737793,content,dire
679140.0,4.464902400970459,function,dov'
686637.0,4.528844833374023,content,è
700749.0,6.991481304168701,function,lo
709128.0,8.26133918762207,content,fa
715302.0,8.148874282836914,content,ricco
734706.0,4.4434990882873535,function,per
743085.0,8.581920623779297,function,tutta
754110.0,1.5769976377487185,function,la
760861.0,3.3473634719848637,content,vita
822465.0,5.087360382080078,function,C'
827316.0,0.8735875487327576,content,era
835156.0,5.694584369659424,function,un
838782.0,9.108455657958984,content,contadino
864801.0,7.136709690093994,function,senza
882000.0,8.575390815734863,function,un
889056.0,6.039283275604248,content,soldo
925218.0,7.690949440002441,function,che
930951.0,7.940371990203857,function,non
938448.0,6.448029518127441,content,sapeva
953442.0,6.988963127136231,function,né
959175.0,8.518776893615723,content,leggere
977697.0,1.437194585800171,function,né
984753.0,3.483508586883545,content,scrivere
1021797.0,6.405563354492188,function,e
1024804.0,7.4282073974609375,function,si
1034092.0,8.133262634277344,content,chiamava
1050903.0,7.75685977935791,content,Gàmbara
1109366.0,5.2283196449279785,function,Sarà
1120140.0,8.148858070373535,function,tanto
1132488.0,8.308712005615234,content,difficile
1160712.0,7.418821811676025,content,far
1167327.0,4.2086591720581055,function,l'
1169973.0,4.82256555557251,content,astrologo
1207899.0,5.558779716491699,function,si
1218924.0,6.749635696411133,content,disse
1262583.0,8.384706497192383,function,Mi
1267434.0,8.365485191345215,function,ci
1271844.0,8.993551254272461,function,voglio
1283310.0,6.9300217628479,content,provare
1329615.0,6.852402210235596,function,E
1335789.0,7.831784248352051,content,andò
1347696.0,4.898069858551025,function,dal
1356957.0,8.05140495300293,content,Re
1389591.0,5.914450645446777,function,che
1395324.0,7.500774383544922,function,lo
1401057.0,7.428356647491455,content,prese
1414287.0,5.416695594787598,function,in
1421343.0,3.704606056213379,content,parola
1453536.0,6.898509979248047,function,e
1454859.0,7.666967391967773,function,lo
1461915.0,7.928829193115234,content,chiuse
1479555.0,5.577569961547852,function,a
1482642.0,8.143811225891113,content,studiare
1509543.0,4.675560474395752,function,in
1514711.0,7.231917858123779,function,una
1521009.0,7.270736217498779,content,stanza
1579662.0,7.2027692794799805,function,Dove
1591128.0,3.6968085765838623,function,c'
1594656.0,0.9531429409980774,content,erano
1607445.0,7.702215194702148,function,solo
1625967.0,8.007648468017578,function,un
1633905.0,8.713746070861816,content,letto
1671390.0,4.104762554168701,function,e
1672713.0,4.2204670906066895,function,un
1681533.0,7.623722553253174,content,tavolo
1709757.0,3.768627643585205,function,con
1719018.0,6.635771751403809,function,un
1725192.0,8.169319152832031,content,gran
1737981.0,3.190175771713257,content,libraccio
1760031.0,2.2634170055389404,function,d'
1761795.0,4.128288745880127,content,astrologia
1824417.0,7.287909030914307,function,e
1832355.0,6.860564708709717,content,penna
1850877.0,6.305839538574219,content,carta
1880865.0,6.23933219909668,function,e
1882188.0,6.582779407501221,content,calamaio
1963332.0,1.8818448781967163,content,Gàmbara
1982295.0,6.857397556304932,function,si
1990233.0,5.059638977050781,content,sedette
2007480.0,6.597255706787109,function,al
2014929.0,5.917283535003662,content,tavolo
2046240.0,4.082873344421387,function,e
2048445.0,6.804800510406494,content,cominciò
2074464.0,1.176493525505066,function,a
2077551.0,3.6155853271484375,content,scartabellare
2116800.0,5.379298686981201,function,il
,7.368568420410156,content,libro
2137527.0,3.966563701629639,function,senza
2154726.0,5.816193103790283,content,capirci
2176776.0,4.05647611618042,function,niente
2204118.0,2.298250198364258,function,e
2208969.0,8.454986572265625,function,a
2216025.0,9.289889335632324,content,farci
2234988.0,8.461247444152832,function,dei
2244249.0,7.70057487487793,content,segni
2258361.0,5.126169204711914,function,con
2267181.0,6.383487701416016,function,la
2273355.0,5.64351749420166,content,penna
2341908.0,7.075377941131592,function,Siccome
2358909.0,6.676902770996094,function,non
2366847.0,5.807938575744629,content,sapeva
2384487.0,5.32633638381958,content,scrivere
2424618.0,7.610960483551025,content,venivano
2447550.0,8.738194465637207,function,fuori
2459016.0,7.132935523986816,function,dei
2469159.0,6.420773029327393,content,segni
2481948.0,5.474068641662598,function,ben
2489886.0,5.385149002075195,content,strani
2541924.0,5.848630428314209,function,e
2545452.0,7.991796016693115,function,i
2553831.0,4.3914337158203125,content,servi
2572353.0,7.786196708679199,function,che
2575881.0,3.969195127487183,content,entravano
2603223.0,6.177812576293945,,due
2611161.0,5.411343097686768,content,volte
2625273.0,6.404696941375732,function,al
2631888.0,5.1733174324035645,content,giorno
2653832.0,6.847787380218506,function,a
2658348.0,6.892319679260254,content,portargli
2680398.0,5.172653198242188,function,da
2684808.0,7.286157608032227,content,mangiare
2721411.0,7.852776527404785,function,si
2730231.0,9.194564819335938,content,fecero
2746989.0,4.713788032531738,function,l'
2749194.0,6.092089653015137,content,idea
2776699.0,3.0526657104492188,function,che
2784033.0,7.014037609100342,function,fosse
2797704.0,6.868167400360107,function,un
2802114.0,4.85256290435791,content,astrologo
2826810.0,3.1868011951446533,content,sapiente
2910904.0,7.105138301849365,function,Questi
2921625.0,7.835885047912598,content,servi
2939265.0,6.804652214050293,function,erano
