BEGIN,entropy,type_of_words,word
88465.0,,function,Il
104782.0,11.897998809814451,content,piccolo
130051.0,8.063043594360352,content,ragno
174283.0,7.492621421813965,content,tesse
210092.0,8.50029182434082,function,e
221779.0,8.154794692993164,content,tace
314257.0,5.888632297515869,content,Splende
348390.0,7.445648193359375,function,il
361047.0,8.152883529663086,content,sole
384199.0,6.045259475708008,function,e
388080.0,5.685298919677734,content,soffia
415025.0,6.603602409362793,function,il
422875.0,5.388699531555176,content,vento
472576.0,7.814383506774902,content,Soffia
497845.0,5.000551700592041,function,già
508076.0,5.498053073883057,function,di
515573.0,7.258089542388916,content,buon
528803.0,4.430739879608154,content,mattino
578945.0,4.325902938842773,function,e
584501.0,9.217015266418455,content,porta
608007.0,6.690352916717529,function,con
616253.0,2.53797459602356,function,sé
636804.0,5.763784408569336,function,sopra
655899.0,5.527416229248047,function,i
659604.0,7.464248180389404,content,campi
692061.0,5.5975022315979,function,il
706614.0,7.618095397949219,content,piccolo
732810.0,4.140432357788086,content,ragno
808309.0,8.368390083312988,function,Con
813733.0,3.789517402648926,function,l'
819202.0,6.815807819366455,content,argenteo
855143.0,8.385448455810547,content,filo
874371.0,8.572997093200684,content,sottile
924601.0,7.674302101135254,function,il
937169.0,4.2694172859191895,content,piccolo
956794.0,0.4334979057312011,content,ragno
989780.0,8.167264938354492,content,rimane
1015976.0,5.283702850341797,content,impigliato
1111188.0,5.305921077728272,function,fra
1075423.0,3.6591317653656006,function,i
1082876.0,3.721145629882813,content,pali
1101574.0,5.249000549316406,function,di
1104573.0,7.73622989654541,function,un
1109380.0,4.315581798553467,content,recinto
1185761.0,9.5847806930542,function,E
1194845.0,7.816896438598633,content,comincia
1225980.0,2.641117572784424,function,subito
1267743.0,3.305901288986206,function,a
1279076.0,8.482179641723633,content,tessere
1301700.0,5.942721366882324,function,la
1307609.0,8.359437942504883,function,sua
1322030.0,6.954529762268066,content,tela
1403527.0,8.044708251953125,content,Arriva
1423989.0,6.053085803985596,function,il
1432456.0,6.616603374481201,content,cavallo
1482598.0,5.8198018074035645,function,e
1486214.0,7.724580764770508,function,gli
1494020.0,5.621339321136475,content,dice
1523831.0,6.137866020202637,function,Hiii
1561978.0,3.0233829021453857,function,Hiii
1619087.0,7.927021503448486,function,Vuoi
1627334.0,7.956326007843018,content,venire
1648370.0,4.379885196685791,function,a
1654412.0,4.894463062286377,content,cavalcare
1686031.0,3.512734651565552,function,Il
1742082.0,4.131114959716797,content,piccolo
1762589.0,0.5196776986122131,content,ragno
1798751.0,4.2862396240234375,content,tesse
1819919.0,6.460524559020996,function,e
1828210.0,2.044513940811157,content,tace
1912176.0,4.90911340713501,content,Arriva
1937004.0,1.0529004335403442,function,la
1942473.0,6.318261623382568,content,mucca
1995790.0,5.824796199798584,function,e
1998524.0,4.961304664611816,function,gli
2007300.0,1.030887246131897,content,dice
2044256.0,2.269853115081787,function,Mu
2104452.0,2.6252670288085938,function,Mu
2160944.0,2.3541018962860107,function,Vuoi
2168706.0,1.622549533843994,content,mangiare
2194416.0,5.721072196960449,function,un
2203412.0,4.517943382263184,function,po'
2209234.0,3.303778886795044,function,di
2214482.0,6.254874229431152,content,fieno
2231857.0,4.547752380371094,function,e
2239839.0,8.793310165405273,function,di
2243367.0,5.844656467437744,content,avena
2305063.0,4.888986110687256,function,Il
2316529.0,0.8530014753341675,content,piccolo
2333243.0,0.0479699894785881,content,ragno
2379636.0,1.6161452531814575,content,tesse
2415842.0,0.2942721843719482,function,e
2427617.0,0.2687588036060333,content,tace
2507261.0,8.519119262695312,content,Arriva
2529003.0,2.4210219383239746,function,la
2530855.0,4.714594841003418,content,pecora
2578483.0,2.179173707962036,function,e
2580600.0,0.9478845596313475,function,gli
2590831.0,0.4374741315841675,content,dice
2626596.0,5.016624450683594,function,Bee
2666066.0,5.630799770355225,content,Bee
2704256.0,3.245899200439453,content,Andiamo
2729746.0,5.756592750549316,function,insieme
2752502.0,4.516614437103272,function,per
2763218.0,5.764353275299072,content,prati
2823811.0,4.151825904846191,function,Il
2835277.0,0.5316839218139648,content,piccolo
